Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
CHST11	1.0	3.542186350187623	-0.2839352196505748	green	0.2839352196505748
AL139393.3	1.0	2.9572523275530833	-0.28232532757856366	green	0.28232532757856366
TPX2	1.0	3.126974885875525	-0.28231809801993246	green	0.28231809801993246
SLC1A4	1.0	4.895913978016388	-0.28212491441692694	green	0.28212491441692694
HIST1H2BJ	1.0	0.7248629826843503	-0.28133257402503037	green	0.28133257402503037
AC018618.1	1.0	-2.3627573694265624	-0.28082477518680043	green	0.28082477518680043
ESM1	1.0	-2.242552055984954	-0.28077466396061795	green	0.28077466396061795
AFAP1L1	1.0	4.25665145631733	-0.2802380993115146	green	0.2802380993115146
C2CD2	1.0	4.061643678608023	-0.2795513859451447	green	0.2795513859451447
VWA8	1.0	2.173098792544684	-0.27782728519162014	green	0.27782728519162014
MCM7	1.0	4.736553286306822	-0.2774749353258844	green	0.2774749353258844
CHN1	1.0	1.1532681789655326	-0.2771963499161822	green	0.2771963499161822
BCAM	1.0	0.6658247753497589	-0.2771247595061301	green	0.2771247595061301
HIST2H2BF	1.0	-0.027633460868042546	-0.27710438213294547	green	0.27710438213294547
KAZN	1.0	1.2583537062133687	-0.27681126802262257	green	0.27681126802262257
ACSF2	1.0	2.134451634250062	-0.2763807655017439	green	0.2763807655017439
TSHZ3	1.0	1.154374031347566	-0.27481367684653274	green	0.27481367684653274
SCN9A	1.0	3.723016486310232	-0.2747897853975	green	0.2747897853975
ALPL	1.0	2.868774000106462	-0.2747436071272168	green	0.2747436071272168
TUBB2B	1.0	1.0315560735899207	-0.2738816123571303	green	0.2738816123571303
DEPP1	1.0	4.811690030682478	-0.27379845148788307	green	0.27379845148788307
RNASEH2A	1.0	1.1625687381020033	-0.2735647926813085	green	0.2735647926813085
PTK2B	1.0	1.5305711294047597	-0.2733170004336207	green	0.2733170004336207
FOXC2	1.0	0.7727241844274279	-0.2730974940813305	green	0.2730974940813305
AC126175.2	1.0	-2.2284127698938927	0.2724270065725539	green	0.2724270065725539
EPHB1	1.0	0.08831396883199413	-0.27237374146736376	green	0.27237374146736376
EXPH5	1.0	-2.347919642018221	-0.2722804765794965	green	0.2722804765794965
AEN	1.0	4.0234203722528825	-0.27192791506679354	green	0.27192791506679354
